Rows & Cols, Channels, Filters, Memory Usage,,WS-1-ex, WS-(MAC/CYCLE),IM2COL-IC-1EX ,IM2C IC  (MAC/CYCLE), IM2C OC 1 EX, IM2C OC  (MAC/CYCLE), CONV OC 1 EX, CONV OC  (MAC/CYCLE)
16, 30, 16, 59kB, ,2871, ,1444 , ,6278, ,6994, ,
16, 30, 17, 60kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 18, 62kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 19, 64kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 20, 66kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 21, 68kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 22, 70kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 23, 71kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 24, 73kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 25, 75kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 26, 77kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 27, 79kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 28, 80kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 29, 82kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 30, 84kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 31, 86kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 32, 88kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 30, 48, 117kB, ,2871, ,1444 , ,18939, ,20554, ,
16, 30, 64, 146kB, ,2871, ,1444 , ,25235, ,27390, ,
16, 30, 80, 175kB, ,2871, ,1444 , ,31528, ,34229, ,
16, 30, 96, 204kB, ,2871, ,1444 , ,37756, ,41173, ,
16, 30, 112, 233kB, ,2871, ,1444 , ,43822, ,48007, ,
16, 30, 128, 263kB, ,2871, ,1444 , ,49871, ,54896, ,
16, 30, 144, 292kB, ,2871, ,1444 , ,55927, ,61848, ,
